experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device1,qwen2.5:3b,25,0.0019,0,0.0,1.92,0.0039,0.0015,0.0013,0.0009,0.0057,0.6886,False,1495.9,1495.9
E3,device1,qwen2.5:3b,26,0.004,0,0.0,3.96,0.0038,0.0017,0.001,0.0009,0.012,0.3148,False,1495.9,1496.1
E3,device1,qwen2.5:3b,27,0.0018,0,0.0,1.83,0.005,0.0018,0.0013,0.0015,0.0054,0.921,False,1496.1,1496.5
E3,device1,qwen2.5:3b,28,0.002,0,0.0,1.97,0.0064,0.0037,0.0011,0.0012,0.006,1.0615,False,1497.2,1497.2
E3,device1,qwen2.5:3b,29,0.0018,0,0.0,1.82,0.0058,0.0028,0.0017,0.0011,0.0054,1.0795,False,1497.2,1497.2
E3,device1,qwen2.5:3b,30,0.0015,0,0.0,1.55,0.0037,0.0015,0.001,0.001,0.0045,0.8311,False,1497.2,1497.2
E3,device1,mistral:7b,1,0.0025,0,0.0,2.49,0.0075,0.0024,0.0021,0.0024,0.0075,1.0057,False,1497.3,1497.3
E3,device1,mistral:7b,2,0.0033,0,0.0,3.31,0.004,0.0015,0.0013,0.001,0.0099,0.3999,False,1497.3,1497.3
E3,device1,mistral:7b,3,0.0015,0,0.0,1.45,0.0037,0.0013,0.0011,0.0011,0.0045,0.8187,False,1497.3,1497.3
E3,device1,mistral:7b,4,0.0014,0,0.0,1.41,0.0037,0.0013,0.0012,0.001,0.0042,0.8858,False,1496.9,1496.9
E3,device1,mistral:7b,5,0.0017,0,0.0,1.74,0.0042,0.0016,0.0011,0.0013,0.0051,0.8256,False,1496.9,1496.9
E3,device1,mistral:7b,6,0.0029,0,0.0,2.93,0.004,0.0016,0.0011,0.001,0.0087,0.4644,False,1496.9,1496.9
E3,device1,mistral:7b,7,0.0013,0,0.0,1.33,0.0039,0.0015,0.0013,0.0009,0.0039,1.0089,False,1496.9,1496.9
E3,device1,mistral:7b,8,0.0017,0,0.0,1.74,0.0039,0.0016,0.0011,0.001,0.0051,0.7704,False,1496.9,1496.9
E3,device1,mistral:7b,9,0.0014,0,0.0,1.41,0.0036,0.0014,0.0009,0.0011,0.0042,0.8658,False,1496.9,1496.9
