experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,single_ram_mb,agent_ram_mb
E3,device3,phi3:mini,3,0.5761,24,41.66,64.56,2.1035,0.4721,0.5313,1.1,1.7283,1.2171,True,1060.7,1062.7
E3,device3,phi3:mini,4,0.5752,24,41.73,65.24,2.111,0.4785,0.5329,1.0994,1.7256,1.2233,True,1062.6,1064.6
E3,device3,phi3:mini,5,0.5938,24,40.42,82.05,2.0974,0.4679,0.5304,1.0989,1.7814,1.1774,True,1064.9,1065.8
E3,device3,phi3:mini,6,0.5795,24,41.41,67.97,2.1138,0.4796,0.5326,1.1015,1.7385,1.2159,True,1067.3,1068.7
E3,device3,phi3:mini,7,0.6009,24,39.94,88.68,2.0985,0.4675,0.5318,1.099,1.8027,1.1641,True,1069.4,1069.2
E3,device3,phi3:mini,8,0.5765,24,41.63,64.94,2.0923,0.4707,0.5303,1.0912,1.7295,1.2098,True,1068.2,1072.4
E3,device3,phi3:mini,9,0.5759,24,41.67,64.02,2.1095,0.4761,0.5313,1.102,1.7277,1.221,True,1072.9,1075.3
E3,device3,phi3:mini,10,0.5937,24,40.43,84.5,2.0999,0.4679,0.5303,1.1016,1.7811,1.179,True,1074.3,1075.1
E3,device3,phi3:mini,11,0.5767,24,41.62,65.68,2.0982,0.4714,0.5288,1.0979,1.7301,1.2128,True,1075.3,1075.5
E3,device3,phi3:mini,12,0.5777,24,41.54,66.19,2.1009,0.4683,0.5318,1.1006,1.7331,1.2122,True,1073.1,1073.0
